,cqt_shape,max_wc,fmin,mel_shape,samp_sec,mixup,use_stft,model_fnm2,filter_scale,mm_mean,trim,use_cqt,min_th,ext2,stft_shape,max_th,oo_weight,cout,model2,use_rr,n_mels,dp,mm_weight,min_cost,model_fnm1,out_cost,hop_length,model1,n1,mm_weighted_accuracy,pre_emphasis,ord1,chaug,use_mel,wunknown,win_length,ext,n_bins,fc
0,"(1, 1, 1)",0.7924528301886793,10,"(120, 313, 1)",20,True,False,lcnn_dr_1/lcnn2_dr_rr_model2.hdf5,1,False,0,False,0.6,False,"(1, 1, 1)",0.44,3,0.8,lcnn2_dr_rr,True,120,0,3,10894.392741414571,lcnn_dr_1/lcnn1_dr_rr_model1.hdf5,14916.196497647814,256,lcnn1_dr_rr,0,0.7574123989218329,0,True,10,True,1,512,True,80,False
1,"(1, 1, 1)",0.7978436657681941,10,"(120, 313, 1)",20,True,False,lcnn_dr_1/lcnn2_dr_rr_model2.hdf5,1,False,0,False,0.6,False,"(1, 1, 1)",0.49,3,0.8,lcnn2_dr_rr,True,120,0,3,10817.936950039006,lcnn_dr_1/lcnn1_dr_rr_model1.hdf5,14706.77241387818,256,lcnn1_dr_rr,0,0.784366576819407,0,True,10,True,1,512,True,80,False
2,"(1, 1, 1)",0.784366576819407,10,"(120, 313, 1)",20,True,False,lcnn_dr_1/lcnn2_dr_rr_model2.hdf5,1,False,0,False,0.63,True,"(1, 1, 1)",0.48,3,0.8,lcnn2_dr_rr,True,120,0,3,11064.183583941944,lcnn_dr_1/lcnn1_dr_rr_model1.hdf5,15131.463960532763,256,lcnn1_dr_rr,0,0.7762803234501348,0,True,10,True,1,512,False,80,False
3,"(1, 1, 1)",0.7897574123989218,10,"(120, 313, 1)",20,True,False,lcnn_dr_1/lcnn2_dr_rr_model2.hdf5,1,False,0,False,0.61,False,"(1, 1, 1)",0.48,3,0.8,lcnn2_dr_rr,True,120,0,3,10267.34298375579,lcnn_dr_1/lcnn1_dr_rr_model1.hdf5,14496.255505044292,256,lcnn1_dr_rr,0,0.7601078167115903,0,True,10,True,1,512,True,80,False
4,"(1, 1, 1)",0.7951482479784366,10,"(120, 313, 1)",20,True,False,lcnn_dr_1/lcnn2_dr_rr_model2.hdf5,1,False,0,False,0.6,True,"(1, 1, 1)",0.48,3,0.8,lcnn2_dr_rr,True,120,0,3,11140.5892919987,lcnn_dr_1/lcnn1_dr_rr_model1.hdf5,15125.620581417446,256,lcnn1_dr_rr,0,0.7762803234501348,0,True,10,True,1,512,False,80,False
5,"(1, 1, 1)",0.7520215633423181,10,"(120, 313, 1)",20,True,False,lcnn_dr_1/lcnn2_dr_rr_model2.hdf5,1,False,0,False,0.62,False,"(1, 1, 1)",0.45,3,0.8,lcnn2_dr_rr,True,120,0,3,11354.715092359507,lcnn_dr_1/lcnn1_dr_rr_model1.hdf5,14913.897229074744,256,lcnn1_dr_rr,0,0.738544474393531,0,True,10,True,1,512,True,80,False
6,"(1, 1, 1)",0.7951482479784366,10,"(120, 313, 1)",20,True,False,lcnn_dr_1/lcnn2_dr_rr_model2.hdf5,1,False,0,False,0.6,False,"(1, 1, 1)",0.51,3,0.8,lcnn2_dr_rr,True,120,0,3,11767.92001194629,lcnn_dr_1/lcnn1_dr_rr_model1.hdf5,14704.47314530511,256,lcnn1_dr_rr,0,0.784366576819407,0,True,10,True,1,512,True,80,False
7,"(1, 1, 1)",0.7897574123989218,10,"(120, 313, 1)",20,True,False,lcnn_dr_1/lcnn2_dr_rr_model2.hdf5,1,False,0,False,0.6,False,"(1, 1, 1)",0.59,3,0.8,lcnn2_dr_rr,True,120,0,3,10835.19308544929,lcnn_dr_1/lcnn1_dr_rr_model1.hdf5,14090.184785453719,256,lcnn1_dr_rr,0,0.7601078167115903,0,True,10,True,1,512,True,80,False
8,"(1, 1, 1)",0.7870619946091644,10,"(120, 313, 1)",20,True,False,lcnn_dr_1/lcnn2_dr_rr_model2.hdf5,1,False,0,False,0.59,True,"(1, 1, 1)",0.47,3,0.8,lcnn2_dr_rr,True,120,0,3,11465.103643600118,lcnn_dr_1/lcnn1_dr_rr_model1.hdf5,15125.620581417446,256,lcnn1_dr_rr,0,0.7789757412398922,0,True,10,True,1,512,False,80,False
9,"(1, 1, 1)",0.7870619946091644,10,"(120, 313, 1)",20,True,False,lcnn_dr_1/lcnn2_dr_rr_model2.hdf5,1,False,0,False,0.59,True,"(1, 1, 1)",0.48,3,0.8,lcnn2_dr_rr,True,120,0,3,11331.715181698506,lcnn_dr_1/lcnn1_dr_rr_model1.hdf5,14705.679588813924,256,lcnn1_dr_rr,0,0.7762803234501348,0,True,10,True,1,512,False,80,False
10,"(1, 1, 1)",0.8086253369272237,10,"(120, 313, 1)",20,True,False,lcnn_dr_1/lcnn2_dr_rr_model2.hdf5,1,False,0,False,0.61,False,"(1, 1, 1)",0.55,3,0.8,lcnn2_dr_rr,True,120,0,3,10651.333031544025,lcnn_dr_1/lcnn1_dr_rr_model1.hdf5,13880.760701684087,256,lcnn1_dr_rr,0,0.7951482479784366,0,True,10,True,1,512,True,80,False
11,"(1, 1, 1)",0.7870619946091644,10,"(120, 313, 1)",20,True,False,lcnn_dr_1/lcnn2_dr_rr_model2.hdf5,1,False,0,False,0.63,True,"(1, 1, 1)",0.54,3,0.8,lcnn2_dr_rr,True,120,0,3,11415.607493121903,lcnn_dr_1/lcnn1_dr_rr_model1.hdf5,14704.47314530511,256,lcnn1_dr_rr,0,0.7735849056603774,0,True,10,True,1,512,False,80,False
12,"(1, 1, 1)",0.784366576819407,10,"(120, 313, 1)",20,True,False,lcnn_dr_1/lcnn2_dr_rr_model2.hdf5,1,False,0,False,0.63,True,"(1, 1, 1)",0.58,3,0.8,lcnn2_dr_rr,True,120,0,3,10758.210037859777,lcnn_dr_1/lcnn1_dr_rr_model1.hdf5,14916.196497647814,256,lcnn1_dr_rr,0,0.7681940700808625,0,True,10,True,1,512,False,80,False
13,"(1, 1, 1)",0.7924528301886793,10,"(120, 313, 1)",20,True,False,lcnn_dr_1/lcnn2_dr_rr_model2.hdf5,1,False,0,False,0.57,True,"(1, 1, 1)",0.48,3,0.8,lcnn2_dr_rr,True,120,0,3,11437.500517895016,lcnn_dr_1/lcnn1_dr_rr_model1.hdf5,14299.608869223353,256,lcnn1_dr_rr,0,0.7681940700808625,0,True,10,True,1,512,False,80,False
14,"(1, 1, 1)",0.8005390835579514,10,"(120, 313, 1)",20,True,False,lcnn_dr_1/lcnn2_dr_rr_model2.hdf5,1,False,0,False,0.63,True,"(1, 1, 1)",0.49,3,0.8,lcnn2_dr_rr,True,120,0,3,10899.282270278083,lcnn_dr_1/lcnn1_dr_rr_model1.hdf5,14916.196497647814,256,lcnn1_dr_rr,0,0.7870619946091644,0,True,10,True,1,512,False,80,False
15,"(1, 1, 1)",0.7924528301886793,10,"(120, 313, 1)",20,True,False,lcnn_dr_1/lcnn2_dr_rr_model2.hdf5,1,False,0,False,0.6,True,"(1, 1, 1)",0.44,3,0.8,lcnn2_dr_rr,True,120,0,3,10686.191151295057,lcnn_dr_1/lcnn1_dr_rr_model1.hdf5,14706.77241387818,256,lcnn1_dr_rr,0,0.7924528301886793,0,True,10,True,1,512,False,80,False
16,"(1, 1, 1)",0.7816711590296496,10,"(120, 313, 1)",20,True,False,lcnn_dr_1/lcnn2_dr_rr_model2.hdf5,1,False,0,False,0.6,True,"(1, 1, 1)",0.49,3,0.8,lcnn2_dr_rr,True,120,0,3,10930.223676867756,lcnn_dr_1/lcnn1_dr_rr_model1.hdf5,14705.679588813924,256,lcnn1_dr_rr,0,0.7574123989218329,0,True,10,True,1,512,False,80,False
17,"(1, 1, 1)",0.7681940700808625,10,"(120, 313, 1)",20,True,False,lcnn_dr_1/lcnn2_dr_rr_model2.hdf5,1,False,0,False,0.6,True,"(1, 1, 1)",0.49,3,0.8,lcnn2_dr_rr,True,120,0,3,11044.617169218924,lcnn_dr_1/lcnn1_dr_rr_model1.hdf5,14705.679588813924,256,lcnn1_dr_rr,0,0.7601078167115903,0,True,10,True,1,512,False,80,False
18,"(1, 1, 1)",0.784366576819407,10,"(120, 313, 1)",20,True,False,lcnn_dr_1/lcnn2_dr_rr_model2.hdf5,1,False,0,False,0.65,True,"(1, 1, 1)",0.51,3,0.8,lcnn2_dr_rr,True,120,0,3,11485.666341172946,lcnn_dr_1/lcnn1_dr_rr_model1.hdf5,15140.89005235602,256,lcnn1_dr_rr,0,0.7816711590296496,0,True,10,True,1,512,False,80,False
19,"(1, 1, 1)",0.784366576819407,10,"(120, 313, 1)",20,True,False,lcnn_dr_1/lcnn2_dr_rr_model2.hdf5,1,False,0,False,0.6,False,"(1, 1, 1)",0.56,3,0.8,lcnn2_dr_rr,True,120,0,3,10475.544573875304,lcnn_dr_1/lcnn1_dr_rr_model1.hdf5,13715.847382001075,256,lcnn1_dr_rr,0,0.7601078167115903,0,True,10,True,1,512,True,80,False
20,"(1, 1, 1)",0.7924528301886793,10,"(120, 313, 1)",20,True,False,lcnn_dr_1/lcnn2_dr_rr_model2.hdf5,1,False,0,False,0.62,True,"(1, 1, 1)",0.46,3,0.8,lcnn2_dr_rr,True,120,0,3,11043.463905040964,lcnn_dr_1/lcnn1_dr_rr_model1.hdf5,14704.47314530511,256,lcnn1_dr_rr,0,0.7681940700808625,0,True,10,True,1,512,False,80,False
21,"(1, 1, 1)",0.7978436657681941,10,"(120, 313, 1)",20,True,False,lcnn_dr_1/lcnn2_dr_rr_model2.hdf5,1,False,0,False,0.62,False,"(1, 1, 1)",0.53,3,0.8,lcnn2_dr_rr,True,120,0,3,10488.71353368635,lcnn_dr_1/lcnn1_dr_rr_model1.hdf5,13527.86905406437,256,lcnn1_dr_rr,0,0.7816711590296496,0,True,10,True,1,512,True,80,False
22,"(1, 1, 1)",0.7978436657681941,10,"(120, 313, 1)",20,True,False,lcnn_dr_1/lcnn2_dr_rr_model2.hdf5,1,False,0,False,0.62,False,"(1, 1, 1)",0.53,3,0.8,lcnn2_dr_rr,True,120,0,3,9711.08961901161,lcnn_dr_1/lcnn1_dr_rr_model1.hdf5,13697.681225300485,256,lcnn1_dr_rr,0,0.7924528301886793,0,True,10,True,1,512,True,80,False
23,"(1, 1, 1)",0.7951482479784366,10,"(120, 313, 1)",20,True,False,lcnn_dr_1/lcnn2_dr_rr_model2.hdf5,1,False,0,False,0.58,False,"(1, 1, 1)",0.51,3,0.8,lcnn2_dr_rr,True,120,0,3,10966.178444086718,lcnn_dr_1/lcnn1_dr_rr_model1.hdf5,14116.529392839751,256,lcnn1_dr_rr,0,0.7897574123989218,0,True,10,True,1,512,True,80,False
24,"(1, 1, 1)",0.8032345013477089,10,"(120, 313, 1)",20,True,False,lcnn_dr_1/lcnn2_dr_rr_model2.hdf5,1,False,0,False,0.62,False,"(1, 1, 1)",0.51,3,0.8,lcnn2_dr_rr,True,120,0,3,9848.494816216524,lcnn_dr_1/lcnn1_dr_rr_model1.hdf5,14090.184785453719,256,lcnn1_dr_rr,0,0.8005390835579514,0,True,10,True,1,512,True,80,False
25,"(1, 1, 1)",0.8086253369272237,10,"(120, 313, 1)",20,True,False,lcnn_dr_1/lcnn2_dr_rr_model2.hdf5,1,False,0,False,0.62,False,"(1, 1, 1)",0.53,3,0.8,lcnn2_dr_rr,True,120,0,3,11400.140829581378,lcnn_dr_1/lcnn1_dr_rr_model1.hdf5,15131.463960532763,256,lcnn1_dr_rr,0,0.8059299191374663,0,True,10,True,1,512,True,80,False
26,"(1, 1, 1)",0.7951482479784366,10,"(120, 313, 1)",20,True,False,lcnn_dr_1/lcnn2_dr_rr_model2.hdf5,1,False,0,False,0.63,False,"(1, 1, 1)",0.5,3,0.8,lcnn2_dr_rr,True,120,0,3,11041.415104247506,lcnn_dr_1/lcnn1_dr_rr_model1.hdf5,15140.89005235602,256,lcnn1_dr_rr,0,0.7951482479784366,0,True,10,True,1,512,True,80,False
27,"(1, 1, 1)",0.7924528301886793,10,"(120, 313, 1)",20,True,False,lcnn_dr_1/lcnn2_dr_rr_model2.hdf5,1,False,0,False,0.63,False,"(1, 1, 1)",0.51,3,0.8,lcnn2_dr_rr,True,120,0,3,10689.858186508449,lcnn_dr_1/lcnn1_dr_rr_model1.hdf5,14299.608869223353,256,lcnn1_dr_rr,0,0.784366576819407,0,True,10,True,1,512,True,80,False
28,"(1, 1, 1)",0.7978436657681941,10,"(120, 313, 1)",20,True,False,lcnn_dr_1/lcnn2_dr_rr_model2.hdf5,1,False,0,False,0.6,False,"(1, 1, 1)",0.5,3,0.8,lcnn2_dr_rr,True,120,0,3,11161.087584257268,lcnn_dr_1/lcnn1_dr_rr_model1.hdf5,15131.463960532763,256,lcnn1_dr_rr,0,0.7978436657681941,0,True,10,True,1,512,True,80,False
